date,Sleep Score,Total Sleep Score,REM Sleep Score,Deep Sleep Score,Sleep Efficiency Score,Restfulness Score,Sleep Latency Score,Sleep Timin Score,Total Sleep Duration,Total Bedtime ,Awake Time,REM Sleep Duration,Light Sleep Duration,Deep Sleep Duration,Restless Sleep,Sleep Efficiency,Sleep Latency,Sleep Timing,Bedtime Start,Bedtime End,Average Resting Heart Rate,Lowest Resting Heart Rate,Average HRV,Temperature Deviation (Â°C),Temperature Trend Deviation,Respiratory Rate,Activity Score,Stay Active Score,Move Every Hour Score,Meet Daily Targets Score,Training Frequency Score,Training Volume Score,Activity Burn,Total Burn,Steps,Equivalent Walking Distance,Inactive Time,Rest Time,Low Activity Time,Medium Activity Time,High Activity Time,Non-wear Time,Average MET,Long Periods of Inactivity,Readiness Score,Previous Night Score,Sleep Balance Score,Previous Day Activity Score,Activity Balance Score,Temperature Score,Resting Heart Rate Score,HRV Balance Score,Recovery Index Score
1/27/2022,76,81,52,100,67,72,75,72,26130,33360,7230,3510,13110,9510,133,78,390,15240,2022-01-26T23:41:00.000-05:00,2022-01-27T08:57:00.000-05:00,52.51,46,60,-0.12,-0.02,11.75,73,56,100,43,71,77,202,2345,4465,3317,38760,30720,11160,480,0,5280,1.3125,0,78,75,63,94,82,100,83,81,87
1/28/2022,76,82,39,100,74,72,81,71,26490,32760,6270,2640,13290,10560,185,81,510,14730,2022-01-27T23:50:08.000-05:00,2022-01-28T08:56:08.000-05:00,54.23,46,76,-0.02,None,11.5,71,66,100,43,71,57,193,2276,4235,3263,37920,31140,10920,480,0,5940,1.28125,0,78,75,68,94,86,100,79,85,74
1/29/2022,87,95,96,99,74,75,97,56,29610,36780,7170,6960,14310,8340,162,81,930,17850,2022-01-28T23:29:05.000-05:00,2022-01-29T09:42:05.000-05:00,60.66,51,50,0.2,0.15,11.5,61,65,100,25,40,40,156,2225,3589,2565,38040,34440,9120,420,0,4380,1.25,0,89,100,76,94,90,87,100,77,100
1/30/2022,79,96,68,100,88,68,67,32,30360,34860,4500,4560,15390,10410,208,87,210,17010,2022-01-30T00:30:30.000-05:00,2022-01-30T10:11:30.000-05:00,55.29,48,59,-0.11,0.14,11.5,51,79,100,1,1,30,177,2247,4343,2926,31680,38100,11220,360,0,5040,1.25,0,88,82,85,96,96,100,93,76,100
1/31/2022,74,64,52,97,81,72,94,83,22170,26400,4230,3540,12180,6450,151,84,810,13260,2022-01-30T23:51:28.000-05:00,2022-01-31T07:11:28.000-05:00,58.75,50,52,0.08,0.13,11.25,49,61,100,1,1,30,235,2371,5524,3653,38880,27780,14700,720,0,4320,1.34375,0,86,69,82,100,99,98,99,70,100
2/1/2022,74,69,26,99,93,73,75,95,23220,26100,2880,1770,13140,8310,121,89,1440,13710,2022-01-31T23:20:06.000-05:00,2022-02-01T06:35:06.000-05:00,57.97,49,61,-0.04,0.09,11.75,66,66,100,25,40,74,537,2679,9563,8650,37560,28440,12900,1500,1620,4380,1.53125,0,81,70,82,100,97,100,100,71,50
2/2/2022,76,72,33,100,86,74,83,95,23070,26100,3030,2250,11970,8850,133,88,570,13290,2022-02-01T23:26:32.000-05:00,2022-02-02T06:41:32.000-05:00,58.99,48,58,0.34,0.24,11.75,74,60,78,43,71,96,607,2764,8044,9728,39660,26100,13560,2520,1320,3240,1.5625,2,76,75,82,55,95,76,90,78,36
2/3/2022,78,60,80,97,93,77,89,97,21030,23760,2730,5370,8970,6690,98,89,1110,12330,2022-02-02T23:39:02.000-05:00,2022-02-03T06:15:02.000-05:00,53.17,44,81,-0.1,0.2,12.375,74,55,95,43,71,96,230,2380,5094,3473,42720,24780,14460,540,0,3900,1.34375,1,79,80,77,55,87,100,90,85,76
2/4/2022,76,65,60,98,98,77,67,94,22140,23880,1740,3990,10500,7650,140,93,210,12060,2022-02-03T23:50:16.000-05:00,2022-02-04T06:28:16.000-05:00,54.04,46,59,0.14,0.2,11.875,77,65,100,43,71,95,131,2233,3159,1785,38580,28020,9060,240,0,10500,1.28125,0,77,75,75,90,90,93,87,82,40
2/5/2022,77,72,58,98,72,70,81,100,20910,25920,5010,3660,11970,5280,153,81,510,13590,2022-02-04T22:29:15.000-05:00,2022-02-05T05:41:15.000-05:00,57.53,43,53,0.32,0.29,12.75,85,74,100,60,96,96,456,2558,5389,8170,33360,30120,11580,3840,180,7320,1.46875,0,80,78,75,96,95,77,83,83,56
2/6/2022,83,82,62,100,96,75,83,88,26430,29040,2610,4200,10170,12060,144,91,540,14340,2022-02-05T23:24:01.000-05:00,2022-02-06T07:28:01.000-05:00,52.6,44,88,-0.12,0.23,11.375,91,77,100,78,100,99,810,2897,10085,13651,41520,27480,8940,3000,2160,3300,1.65625,0,80,93,78,85,89,100,79,88,39
2/7/2022,69,61,40,97,76,67,70,97,21300,26100,4800,2760,11760,6780,165,82,270,12690,2022-02-06T23:33:28.000-05:00,2022-02-07T06:48:28.000-05:00,48.79,40,67,-0.13,0.09,11.5,85,49,95,78,100,98,264,2370,5879,4642,45780,24660,12240,1200,120,2400,1.34375,1,66,57,75,31,75,100,67,88,49
2/8/2022,72,72,60,97,67,71,59,80,23820,30420,6600,4050,13200,6570,185,78,30,13950,2022-02-07T23:45:03.000-05:00,2022-02-08T08:12:03.000-05:00,57.12,46,48,-0.04,0.03,12.875,91,79,100,78,100,100,795,2933,12081,13091,30540,29640,17700,1740,2220,4560,1.65625,0,81,65,76,None,74,100,100,81,100
2/9/2022,74,61,47,100,79,74,94,96,21180,25380,4200,3180,8910,9090,81,83,1020,13110,2022-02-08T23:28:25.000-05:00,2022-02-09T06:31:25.000-05:00,55.49,47,51,0.12,0.13,11.75,83,60,100,60,96,98,228,2335,5272,3794,40260,26340,12600,780,0,6420,1.34375,0,68,70,73,43,59,95,93,75,41
